Transaction_ID,User_ID,Timestamp,Market_City,Sticker_Price,Markdown_Pct,Historical_User_Purchases,Customer_Satisfaction_Score,Conversion_Outcome
TXN_000001,USR_0258,2026-01-01 00:00:00,New York,53.434364584550906,0.2,23,10,1
TXN_000002,USR_0391,2026-01-01 01:35:00,Toronto,56.68675320699348,0.05,10,5,1
TXN_000003,USR_0283,2026-01-01 03:10:00,New York,42.022650856688415,0.0,56,10,1
TXN_000004,USR_0078,2026-01-01 04:45:00,New York,38.89093519608679,0.0,16,10,1
TXN_000005,USR_0334,2026-01-01 06:20:00,Tokyo,35.99757021252231,0.05,39,9,0
TXN_000006,USR_0030,2026-01-01 07:55:00,Mumbai,136.41043707361595,0.35,72,7,0
TXN_000007,USR_0117,2026-01-01 09:30:00,London,46.119537272793906,0.0,20,7,0
TXN_000008,USR_0029,2026-01-01 11:05:00,London,261.59604335030053,0.05,58,9,0
TXN_000009,USR_0131,2026-01-01 12:40:00,London,168.93400404479362,0.1,50,7,1
TXN_000010,USR_0206,2026-01-01 14:15:00,Tokyo,90.05172057494052,0.0,48,9,0
TXN_000011,USR_0028,2026-01-01 15:50:00,Berlin,115.11142476736332,0.05,11,5,0
TXN_000012,USR_0250,2026-01-01 17:25:00,Paris,35.4285248303893,0.05,5,8,0
TXN_000013,USR_0264,2026-01-01 19:00:00,New York,158.24374300328924,0.1,28,9,0
TXN_000014,USR_0097,2026-01-01 20:35:00,London,114.3118645513905,0.05,45,2,1
TXN_000015,USR_0136,2026-01-01 22:10:00,Tokyo,214.5347499590313,0.1,24,8,1
TXN_000016,USR_0112,2026-01-01 23:45:00,Berlin,114.79250249900174,0.0,67,10,0
TXN_000017,USR_0305,2026-01-02 01:20:00,Toronto,293.3313171529257,0.0,48,10,1
TXN_000018,USR_0295,2026-01-02 02:55:00,Paris,288.2334318956868,0.5,65,7,0
TXN_000019,USR_0026,2026-01-02 04:30:00,London,219.79052528456182,0.2,70,9,0
TXN_000020,USR_0325,2026-01-02 06:05:00,San Francisco,174.35487875059513,0.0,13,9,0
TXN_000021,USR_0113,2026-01-02 07:40:00,New York,61.23768030354101,0.0,73,10,1
TXN_000022,USR_0317,2026-01-02 09:15:00,Mumbai,33.80729229238847,0.0,45,10,0
TXN_000023,USR_0018,2026-01-02 10:50:00,London,113.7597355655527,0.2,42,2,0
TXN_000024,USR_0251,2026-01-02 12:25:00,Singapore,76.08831116534684,0.2,54,8,0
TXN_000025,USR_0202,2026-01-02 14:00:00,New York,256.2893394228043,0.35,49,9,0
TXN_000026,USR_0117,2026-01-02 15:35:00,London,184.55603385531816,0.05,31,10,1
TXN_000027,USR_0048,2026-01-02 17:10:00,New York,239.17784849937703,0.05,68,2,1
TXN_000028,USR_0149,2026-01-02 18:45:00,Toronto,49.81968651024433,0.05,28,10,0
TXN_000029,USR_0362,2026-01-02 20:20:00,New York,70.58980962299033,0.1,11,5,0
TXN_000030,USR_0352,2026-01-02 21:55:00,Paris,83.56459573408893,0.1,27,8,0
TXN_000031,USR_0327,2026-01-02 23:30:00,London,283.80743608270706,0.1,65,10,1
TXN_000032,USR_0250,2026-01-03 01:05:00,Singapore,277.51043989077436,0.2,59,9,0
TXN_000033,USR_0297,2026-01-03 02:40:00,Berlin,193.82340584762292,0.0,25,8,0
TXN_000034,USR_0246,2026-01-03 04:15:00,Tokyo,126.23257775416701,0.05,43,9,1
TXN_000035,USR_0004,2026-01-03 05:50:00,New York,86.62183367991128,0.05,62,10,1
TXN_000036,USR_0293,2026-01-03 07:25:00,New York,88.78918773891886,0.2,22,10,1
TXN_000037,USR_0138,2026-01-03 09:00:00,Paris,72.29210279715964,0.0,49,7,1
TXN_000038,USR_0153,2026-01-03 10:35:00,Tokyo,78.31707056345354,0.0,48,10,0
TXN_000039,USR_0050,2026-01-03 12:10:00,Berlin,75.64521849796755,0.05,29,5,0
TXN_000040,USR_0227,2026-01-03 13:45:00,Paris,175.5438254644964,0.1,19,5,0
TXN_000041,USR_0292,2026-01-03 15:20:00,New York,111.37578281556617,0.05,65,10,0
TXN_000042,USR_0217,2026-01-03 16:55:00,New York,125.03557653652722,0.05,55,8,0
TXN_000043,USR_0160,2026-01-03 18:30:00,London,25.979131824856772,0.0,28,5,1
TXN_000044,USR_0312,2026-01-03 20:05:00,Paris,129.00881708816308,0.0,3,10,0
TXN_000045,USR_0260,2026-01-03 21:40:00,New York,243.80624289246947,0.1,62,8,1
TXN_000046,USR_0074,2026-01-03 23:15:00,Tokyo,29.528750515312783,0.2,65,7,0
TXN_000047,USR_0295,2026-01-04 00:50:00,Berlin,132.9762605298808,0.05,31,5,0
TXN_000048,USR_0289,2026-01-04 02:25:00,Tokyo,123.82671911153935,0.0,2,10,0
TXN_000049,USR_0366,2026-01-04 04:00:00,New York,278.0790576715822,0.0,60,1,0
